Comments
"""t1행동"""
"""세최미"""
"""어이 페이커 이걸로 ""동률""이다"""
"""연륜"""
"""일보후퇴 이보전진"""
"""플 다 뺌"""
#drxwin
*** 애들아 이거써라
? 개이득인데
? 뭘로 보는거야 ㅋㅋㅋㅋ
? 버긐 ㅋㅋ
? 아니 오너 ㅈㄴ위험하게 하네..
? 안닿은거 아녀?
?? 이러면
??? : drx가 밴픽 발랐네 ㅋㅋㅋㅋㅋㅋ
??? : 중요한건 꺽이지않는 마음
??? 내다버린 텔
??? 이걸 교환해버리면
???: 핑크와드는 필요없습니다
???:제카가 누구죠?...
???:확인했습니다
?는 브실골이냐
[ D R X 승 리 ]
^대황젠^
^대황젠^^000^^8884^
^즙ㅈ^
“15 SKT the Classic”
《갓》
「대」「상」「혁」
010 듀오 ㅋㅋㅋㅋㅋㅋ
020 마포고
1:3 아니냐
1080 화질 가능함 유튜브 검색 ㄱㄱ
1080P60 VPN 써야해요
10원 77ㅓ억
10원 개꿀
11렙 17렙
12분에 2용
1552화이팅
1557치면서 T1에 건 애들은 뭐냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
16 17년도 운영 느낌인데
17렙 ㄷㄷ
18 ig 느낌나네 t1 ㄹㅇ 압도적
18분에 3용이면 뭐 겜터진거지
19걸어
19금
19금 달아줘!
1경기 요약 기프트 스노우볼
1경기 요약 기프트 스노우볼
1경기 정도는 뭐
1경기 줘도 괜찬
1경기는 긴장할 수 있어
1경기는 주는게 DRX 룰이지
1경기는 편안하게 T1 승리?
1군 lck
1년가지고 뭔 한국어가 생각이안나 ㅋㅋㅋ 치매냐 ㅋㅋㅋㅋ
1대1 가보자구 ㅎㅇㅌ
1따봉
1따봉
1따봉
1라는 너무 뻔했다
1번 걸엇으면 그냥 쳐봐 왜햇냐 ㅈㄹ떨지말고
1번남~
1세트 t1
1세트 너무 완벽하게져서 각이 안나오는데?
1세트 넘어갔다
1세트 딱봐도 t1이 이겻다
1세트 이렇게 이기면 얻어가는게 많다
1세트 져서 이겼다
1세트 졌네? drx 승!
1세트 지니까 이기더라 ㅋㅋ이미 보인다 패패승승승 이미 내눈에 보인다
1세트는 이미 넘어간듯
1세트를 진 DRX는 달라진다..
1세트를 진 drx못막는다
1세ㅔ트 지니까 이기더라
1시드 없는 결승전 ㅋㅋㅋㅋㅋㅋ
1시드는 얼마나 잘하는 거임?
1용 스틸 한방에 게임이 기울었다...
1차 타워 하나도 못밀었네....
1차 포탑도 못깼어 탑 정글 연습 안하고 왔네
1판은 힘들것다 이거
1호선에서 대상혁 크게 외치시는분 자제해주세요ㅜㅜㅠ
1ㅏ텀 cs차이
20담원 걍 물로켓이라고 생각하면 개추 ㅋㅋ
20대 원딜행동 ㄷㄷ
20분 3용 게임 끝이내 ㅋㅋ
20분 ㄷㄷㄷ
20분컷 ㄹㅈㄷ
21분이네?
22분 만골차 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22페이커가 잘함? 고전파가 잘함?
230포인트 걸었다 야미하노~
27분 2바론이요?ㅋㅋㅋㄱㅋ
2경기 가자~
2대0임???
2대2면 이거 하면.끝나는거 아님?
2등과 4등의 차이는 이정도입니다.
2라인 엄청 푸쉬들어갈텐데
2번째판임?
2시드가 이정돈데 1시드는 ㄷㄷ
2시드를 이긴 1시드를 이긴 4시드를 이긴 2시드
2억제기라 못막음
2억제기였네
2억제기인데 뭘 어케 메이킹 할래 ㅋㅋㅋㅋㅋ
2억제기인데 이거 버틸수 있나?
2용 되버려서 이거 주면 큰데
2용 크크ㅡ으으으
2유성
2유성 ㄷㄷㄷ
2지선다 강요 개쩌네 저게 운영이지 ㄷㄷ
2플
2픽들 조용~하누 ㅋㅋ
3 2 1 DRX 파이팅!!!!
3:0 가자 시시하다
3:0 가자 ㅋㅋㅋㅋㅋ
3:0 각
3:0 나오겠다 체급차이 너무 난다
3:0 나올듯
3:0 뻔하네 ㅋㅋ
3:0가자\
3:0은 안된다 제발~
3:0이네
3:0이네
3:0이네 체급차이 심하다
3:1갈듯
3:2인데 튀네
3-0
33대상혁
36만명 레전드네진짜
38만명은 래전드네
3개는 좀
3개는 좀;;
3ㄷ0가보자잇
3단분할 ㄷㄷ
3대 떡 가자 ㅠㅠㅠㅠㅠ
3대 떡이다
3대0 티원 우승가보자고~
3대0각이노
3대0드가자
3대0셧다운 나올거같네 노잼이다
3대0인가
3대0일듯
3대떡
3대떡 가는거지?
3대떡 나오겟다
3대떡 날듯
3대떡만 되지 마라
3대떡만 아니길..
3떡이냐
3라인 다 밀리네
3라인ㄷㄷ
3랩갱 이런
3렙 오
3배 이벤트
3배 이벤트
3배 이벤트
3배 이벤트 ㄷㄷㄷ
3배이벤트
3배이벤트 개꿀이네 ㅋㅋ
3분할
3분할 ㄷㄷ
3분할 ㄷㄷ
3분할 ㄷㄷ
3분할 ㄷㄷ
3분할 롤로투
3분할 뭐야 ㅋㅋㅋ
3분할 여캠임?
3분할 왜안보여줌
3분할 제로투 ㄷㄷ
3분할 좋고
3분할 ㅋㅋㅋㅋ
3분할 ㅗㅜㅑ
3분할 ㅗㅜㅑ
3분할 ㅗㅜㅑ
3분할 ㅗㅜㅑ
3분할도 해주네
3분할로 중계하네 ㄷㄷ
3분할ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
3억
3억
3억 ㄷㄷ
3억 ㄷㄷㄷㄷㄷㄷ
3억 ㅋㅋ
3억에 4용 ㅋㅋ
3억제 ㄷㄷ
3억제 어케막누 ㅋㅋ
3억제기
3억제기
3억제기
3억제기
3억제기
3억제기
3억제기
3억제기
3억제기
3억제기 나가면 숨만 셔도 이김
